Vendor;Product;Comment;Dorks
Siemens;Simatic S7-200;PLC;S7-200
Siemens;Simatic S7-300;PLC;S7-300
Siemens;Scalance generic;SCALANCE X  Industrial Ethernet switches / SCALANCE W  Industrial Wireless LAN / SCALANCE M  Industrial routers / SCALANCE S  Industrial Security;Scalance
Siemens;Generic;Generic;Copyright: Original Siemens Equipment
Siemens;Simatic HMI;Generic;Simatic
Siemens;Simatic HMI;Generic;Welcome to the Windows CE Telnet Service on HMI_Panel
Siemens;Simatic;.;XP277
Siemens;PLC ;port can not be deactivated by user;port:102
Sierra Wireless;.;.;/gc/flash.php
SoftPLC;.;.;SoftPLC
Somfy;General;Smart Home Devices;title:Somfy
SpiderControl;Generic;HMI;SpiderControl
Stulz GmbH;Generic;Generic;Stulz GmbH Klimatechnik
Trend;IQ3xcite;Controller ;server: iq3
Tridium;.;Fox protocol developed as part of Niagara framework;port:1911,4911 product:Niagara
Tridium;NiagaraAX (ver 1);Software for JACE-2  JACE-403 or JACE-545;Niagara Web Server
Tridium;NiagaraAX (ver 2);Software for JACE-2  JACE-403 or JACE-545;niagara_audit
Tridium;NiagaraAX (ver 3);Software for JACE-2  JACE-403 or JACE-545;niagara_audit -login
Tridium;Niagara Framework;.;Niagara-Platform: QNX
Tridium;Niagara Framework;.;os.name=s:QNX
Trihedral;.;VTScada ODBC Server;Server: VTScada
Wago;Generic;Generic;title:WAGO
Wind River;VxWorks;SCADA Software;VxWorks
Wind River;Generic;Generic;WindRiver-WebServer
Xzeres;442SR;small wind turbine;title:'xzeres wind'
Generic;.;IEC 60870 part 5 is one of the IEC 60870 set of standards which define systems used for SCADA in electrical engineering and power system automation applications.;port:2404 asdu address
Carel;pCO sistema;pCOWeb is used to interface pCO Sistema to networks that use the HVAC protocols like BACnet IP  Modbus TCP/IP or SNMP;title:'Carel pCOWeb Home Page'
Heatmiser;.;wireless room thermostats;title:'Heatmiser Wifi Thermostat'
generic;.;searching tag values requires suitable account;tag:ics
generic;.;searching tag values requires suitable account;tag:iot
Tridium;BACNet Devices;.;"""Local BACnet Device object"" ""Tridium"""
Carel;BACNet Devices;.;"""Carel BACnet Gateway"""
Siemens;BACNET Devices;.;"""Siemens BACnet Field Panel"""
generic;BACNet Devices;.;"""BACnet Broadcast Management Device"""
Veeder-root;.;Automated Tank Gauge (Vendor most likely Veeder-Root but not guaranteed) results typlically contain a lot of honyepots (conpot);I20100 port:10001
Generic;.;Screenshots tagged as ICS (will contain some false positives);screenshot.label:ics
